ID,name,normalized_name,price,approximation,weight_unit,weight,quantity_left,category,query_string_ID,market_ID,created_at,updated_at
396277,Avokádo. ks,avokado. ks,1.38,0,NONE,-1,45,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396278,Limety ks,limety ks,0.57,0,NONE,-1,104,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396279,Kiwi ks,kiwi ks,0.57,0,NONE,-1,143,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396280,Tesco Hrozno bezkôstkové mix 500 g,tesco hrozno bezkostkove mix 500 g,3.7,0,GRAMS,500.0,9,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396281,Tesco Hrozno biele bezkôstkové 500 g,tesco hrozno biele bezkostkove 500 g,3.7,0,GRAMS,500.0,20,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396282,Tesco Finest Hrozno tmavé bezkôstkové 400 g,tesco finest hrozno tmave bezkostkove 400 g,3.65,0,GRAMS,400.0,31,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396283,The Grower's Harvest Jablká červené. balené 2 kg,the grower's harvest jablka cervene. balene 2 kg,2.31,0,GRAMS,0.002,15,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396284,The Grower's Harvest Jablká zelené 2 kg,the grower's harvest jablka zelene 2 kg,2.31,0,GRAMS,0.002,7,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396285,Tesco Berry mix 300 g,tesco berry mix 300 g,6.14,0,GRAMS,300.0,11,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396286,Daifressh Ríbezle červené 125 g,daifressh ribezle cervene 125 g,4.63,0,GRAMS,125.0,5,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396287,Mango. ks,mango. ks,2.31,0,NONE,-1,12,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396288,Tesco Citróny 500 g,tesco citrony 500 g,1.19,0,GRAMS,500.0,141,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396289,Tesco Pomaranče balené 1 kg,tesco pomarance balene 1 kg,2.54,0,GRAMS,0.001,252,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396290,Bio citróny 500 g,bio citrony 500 g,1.73,0,GRAMS,500.0,18,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-27 19:59:37
396291,Tesco Finest  Avokádo,tesco finest  avokado,1.69,0,NONE,-1,73,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396292,Granátové jablko. ks,granatove jablko. ks,2.89,0,NONE,-1,5,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-30 17:31:40
396293,Growers Harvest Hrušky balené 1 kg,growers harvest hrusky balene 1 kg,2.54,0,GRAMS,0.001,7,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-30 17:31:40
396294,GH Hrozno tmavé bezkôstkové 500 g,gh hrozno tmave bezkostkove 500 g,2.99,0,GRAMS,500.0,202,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-27 19:59:37
396295,Tesco Jahody 500 g,tesco jahody 500 g,2.99,0,GRAMS,500.0,106,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-27 19:59:37
396296,Uhorka šalátová. ks,uhorka salatova. ks,0.99,0,NONE,-1,53,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396297,Tesco Bio uhorky,tesco bio uhorky,1.5,0,NONE,-1,75,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396298,Reďkovka biela zväzok,redkovka biela zvazok,2.31,0,NONE,-1,22,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396299,Reďkovka červená zväzok,redkovka cervena zvazok,1.03,0,NONE,-1,130,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396300,Pór ks,por ks,1.38,0,NONE,-1,25,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396301,Mrkva zväzok ks,mrkva zvazok ks,1.5,0,NONE,-1,5,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396302,Tesco Cesnak 3 ks,tesco cesnak 3 ks,2.31,0,NONE,3.0,21,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396303,Cibuľka lahôdková ks,cibulka lahodkova ks,0.79,0,NONE,-1,271,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396304,Veselá paradajka Paradajky cherry San Marzano 250 g,vesela paradajka paradajky cherry san marzano 250 g,3.24,0,GRAMS,250.0,22,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-30 17:31:40
396305,Tesco Baby paradajky podlhovasté 250 g,tesco baby paradajky podlhovaste 250 g,3.7,0,GRAMS,250.0,32,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396306,Tesco Paradajky kokteilové na stonke 400 g,tesco paradajky kokteilove na stonke 400 g,2.79,0,GRAMS,400.0,55,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396307,Tesco Paradajky strawberry 300 g,tesco paradajky strawberry 300 g,3.35,0,GRAMS,300.0,50,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396308,Zeleninárska Kráľovská cibuľa 1.5 kg,zeleninarska kralovska cibula 1.5 kg,2.89,0,GRAMS,0.0015,44,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396309,F.W. Tandoori Húževnatec jedlý šii-také 50 g,f.w. tandoori huzevnatec jedly sii-take 50 g,5.38,0,GRAMS,50.0,19,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396310,Kaleráb ks,kalerab ks,0.99,0,NONE,-1,227,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396311,Petržlen zväzok ks,petrzlen zvazok ks,2.31,0,NONE,-1,52,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396312,Tesco Hliva ustricová 250 g,tesco hliva ustricova 250 g,1.84,0,GRAMS,250.0,25,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396313,Tesco Grill Master Šampiňón záhradný 500 g,tesco grill master sampinon zahradny 500 g,2.31,0,GRAMS,500.0,31,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-05-01 18:39:15
396314,Tesco Grill Master Šampiňóny hnedé 250 g,tesco grill master sampinony hnede 250 g,1.19,0,GRAMS,250.0,9,OVOCIE_ZELENINA,18,2,2024-04-27 19:58:14,2024-04-30 17:31:40
